,Geneid,bwa,kallisto,star
18083,ENSRNOT00000082814_53666,1,1,0
18084,ENSRNOT00000019738_53667,0,0,0
18085,ENSRNOT00000012164_53668,0,0,0
18086,ENSRNOT00000085909_53669,0,0,0
18087,ENSRNOT00000009724_53670,21,21,20
18088,ENSRNOT00000011150_53671,78,77,73
18089,ENSRNOT00000037710_53672,23,23,20
18090,ENSRNOT00000088279_53673,2,2,2
18091,ENSRNOT00000025850_53674,2,2,2
18092,ENSRNOT00000077325_53675,34,33,32
18093,ENSRNOT00000037862_53676,115,113,104
18094,ENSRNOT00000026812_53677,5,5,4
18095,ENSRNOT00000061588_53678,63,62,58
18096,ENSRNOT00000030426_53679,0,0,0
18097,ENSRNOT00000003082_53680,225,222,209
18098,ENSRNOT00000043258_53681,1,1,1
18099,ENSRNOT00000019359_53682,85,85,79
18100,ENSRNOT00000020656_53683,1,1,1
18101,ENSRNOT00000080997_53684,0,0,0
18102,ENSRNOT00000027381_53685,34,34,29
18103,ENSRNOT00000077357_53686,342,337,317
18104,ENSRNOT00000021729_53687,37,37,33
18105,ENSRNOT00000042742_53688,0,0,0
18106,ENSRNOT00000030132_53689,0,0,0
18107,ENSRNOT00000003879_53690,33,33,29
18108,ENSRNOT00000055705_53691,28,28,25
18109,ENSRNOT00000051724_53692,0,0,0
18110,ENSRNOT00000019404_53693,8,8,7
18111,ENSRNOT00000090811_53694,90,87,85
18112,ENSRNOT00000078274_53695,0,0,0
18113,ENSRNOT00000066312_53696,1,1,1
18114,ENSRNOT00000058199_53697,24,24,23
18115,ENSRNOT00000056420_53698,1,1,1
18116,ENSRNOT00000015596_53699,29,29,27
18117,ENSRNOT00000084829_53700,0,0,0
18118,ENSRNOT00000051855_53701,2,2,2
18119,ENSRNOT00000041500_53702,0,0,0
18120,ENSRNOT00000089965_53703,0,0,0
18121,ENSRNOT00000002076_53704,0,0,0
18122,ENSRNOT00000030295_53705,0,0,0
18123,ENSRNOT00000005911_53706,12,12,12
18124,ENSRNOT00000021576_53707,0,0,0
18125,ENSRNOT00000089124_53708,0,0,0
18126,ENSRNOT00000016162_53709,380,345,329
18127,ENSRNOT00000026100_53710,0,0,0
18128,ENSRNOT00000041921_53711,90,84,77
18129,ENSRNOT00000019688_53712,135,128,113
18130,ENSRNOT00000020711_53713,0,0,0
18131,ENSRNOT00000016819_53714,3,3,3
18132,ENSRNOT00000061855_53715,0,0,0
18133,ENSRNOT00000084531_53716,42,41,40
18134,ENSRNOT00000067752_53717,0,0,0
18135,ENSRNOT00000089359_53718,4,4,3
18136,ENSRNOT00000048862_53719,0,0,0
18137,ENSRNOT00000087063_53720,0,0,0
18138,ENSRNOT00000028754_53721,262,258,247
18139,ENSRNOT00000051901_53722,6,6,5
18140,ENSRNOT00000018921_53723,0,0,0
18141,ENSRNOT00000037048_53724,0,0,0
18142,ENSRNOT00000037796_53725,0,0,0
18143,ENSRNOT00000083977_53726,0,1,0
18144,ENSRNOT00000089673_53727,0,0,0
18145,ENSRNOT00000072037_53728,0,0,0
18146,ENSRNOT00000007069_53729,0,0,0
18147,ENSRNOT00000072914_53730,0,0,0
18148,ENSRNOT00000002946_53731,0,0,0
18149,ENSRNOT00000074023_53732,0,0,0
18150,ENSRNOT00000003091_53733,28,27,26
18151,ENSRNOT00000071425_53734,2098,2051,1922
18152,ENSRNOT00000076956_53735,0,0,0
18153,ENSRNOT00000024975_53736,333,327,294
18154,ENSRNOT00000026081_53737,10,10,7
18155,ENSRNOT00000013550_53738,0,0,0
18156,ENSRNOT00000028493_53739,0,0,0
18157,ENSRNOT00000075975_53740,0,0,0
18158,ENSRNOT00000066904_53741,0,0,0
18159,ENSRNOT00000013070_53742,23,22,21
18160,ENSRNOT00000071569_53743,0,0,0
18161,ENSRNOT00000006329_53744,6,6,6
18162,ENSRNOT00000036194_53745,63,61,58
18163,ENSRNOT00000012690_53746,163,156,150
18164,ENSRNOT00000074864_53747,0,0,0
18165,ENSRNOT00000036657_53748,0,0,0
18166,ENSRNOT00000016410_53749,68,68,65
18167,ENSRNOT00000014134_53750,0,0,0
18168,ENSRNOT00000014124_53751,0,0,0
18169,ENSRNOT00000079010_53752,0,0,0
18170,ENSRNOT00000044931_53753,0,0,0
18171,ENSRNOT00000007649_53754,0,0,0
18172,ENSRNOT00000089870_53755,15,14,14
18173,ENSRNOT00000065131_53756,228,224,205
18174,ENSRNOT00000086719_53757,4,4,3
18175,ENSRNOT00000062031_53758,2,2,2
18176,ENSRNOT00000050371_53759,0,0,0
18177,ENSRNOT00000072952_53760,111,108,105
18178,ENSRNOT00000016450_53761,1118,1100,1029
18179,ENSRNOT00000007773_53762,115,112,108
18180,ENSRNOT00000075511_53763,263,254,241
18181,ENSRNOT00000026987_53764,55,55,49
18182,ENSRNOT00000029359_53765,0,0,0
18183,ENSRNOT00000078662_53766,19,19,19
18184,ENSRNOT00000012279_53767,729,712,675
18185,ENSRNOT00000015824_53768,0,0,0
18186,ENSRNOT00000056179_53769,4,4,4
18187,ENSRNOT00000028605_53770,0,0,0
18188,ENSRNOT00000042825_53771,47,7,7
18189,ENSRNOT00000003586_53772,289,285,264
18190,ENSRNOT00000045604_53773,0,0,0
18191,ENSRNOT00000065410_53774,101,100,97
18192,ENSRNOT00000075287_53775,0,0,0
18193,ENSRNOT00000057843_53776,4,4,3
18194,ENSRNOT00000000992_53777,0,0,0
18195,ENSRNOT00000023446_53778,102,98,90
18196,ENSRNOT00000028785_53779,26,26,23
18197,ENSRNOT00000012304_53780,0,0,0
18198,ENSRNOT00000012629_53781,0,0,0
18199,ENSRNOT00000030610_53782,0,0,0
18200,ENSRNOT00000009931_53783,0,0,0
18201,ENSRNOT00000026262_53784,0,0,0
18202,ENSRNOT00000009097_53785,0,0,0
18203,ENSRNOT00000052296_53786,0,0,0
18204,ENSRNOT00000017102_53787,0,0,0
18205,ENSRNOT00000020950_53788,1,1,1
18206,ENSRNOT00000036338_53789,0,0,0
18207,ENSRNOT00000061194_53790,4,4,4
18208,ENSRNOT00000073346_53791,0,0,0
18209,ENSRNOT00000027992_53792,20,20,20
18210,ENSRNOT00000092105_53793,0,0,0
18211,ENSRNOT00000037576_53794,1,0,0
18212,ENSRNOT00000018122_53795,176,174,164
18213,ENSRNOT00000085461_53796,10,9,8
18214,ENSRNOT00000005654_53797,152,148,141
18215,ENSRNOT00000018073_53798,233,227,212
18216,ENSRNOT00000086580_53799,0,0,0
18217,ENSRNOT00000072402_53800,14,13,12
18218,ENSRNOT00000006883_53801,179,171,163
18219,ENSRNOT00000002507_53802,63,62,56
18220,A1BG_7930,0,0,0
18221,A2M_7932,21697,21362,20071
18222,AADAC_7934,6,6,6
18223,AARS_7935,361,353,332
18224,AASS_7936,51,51,49
18225,ABCB1A_7938,5,5,5
18226,ABCB6_7940,0,0,0
18227,ABCC3_7941,146,142,132
18228,ABCC5_7942,12,11,9
18229,ABCC6_7943,2,2,2
18230,ABCF1_7945,365,359,345
18231,ABCF3_7946,103,101,90
18232,ABCG5_7947,0,0,0
18233,ABCG8_7948,0,0,0
18234,ABHD1_7949,5,5,4
18235,ABHD4_7950,28,28,26
18236,ABHD6_7951,10,9,8
18237,ABL1_7952,21,21,21
18238,ACAA2_7955,1259,1241,1172
18239,ACADM_7957,146,140,129
18240,ACADSB_7959,99,99,88
18241,ACADVL_7960,348,341,325
18242,ACAT2_7961,130,130,122
18243,ACBD3_7962,19,19,19
18244,ACLY_7965,468,458,443
18245,ACO1_7966,88,86,81
18246,ACO2_7967,27,27,25
18247,ACOT1_7968,3,2,2
18248,ACOT2_7969,22,21,21
18249,ACOT3_7970,4,4,3
18250,ACOT4_7971,22,22,19
18251,ACOT9_7972,1,1,1
18252,ACOX1_7973,460,448,416
18253,ACSM3_7976,13,12,12
18254,ACSS2_7977,25,25,25
18255,ACTA1_7978,737,716,667
18256,ACTN1_7980,489,480,450
18257,ADAM10_7983,10,10,6
18258,ADAM8_7984,0,0,0
18259,ADAT1_7986,0,0,0
18260,ADCK3_7987,1,0,0
18261,ADCY4_7988,0,0,0
18262,ADHFE1_7993,19,19,18
18263,ADI1_7994,147,144,138
18264,ADO_7995,15,4,4
18265,ADRB2_7997,11,11,11
18266,AEN_7998,80,78,76
18267,AGL_8002,2,2,2
18268,AIMP2_8006,304,301,284
18269,AKAP8_8008,131,124,119
18270,AKR1B8_8013,222,222,205
18271,AKR7A3_8015,1494,1461,1355
18272,AKT1_8016,252,248,230
18273,ALAD_8017,12,5,5
18274,ALAS1_8018,184,183,168
18275,ALAS2_8019,0,0,0
18276,ALB_8020,7169,6770,5729
18277,ALDH1A1_8022,438,433,407
18278,ALDH3A2_8024,235,230,208
18279,ALDH4A1_8025,3,2,1
18280,ALDH6A1_8027,100,99,94
18281,ALDH7A1_8028,831,811,768
18282,ALDOA_8031,1044,1026,974
18283,ALDOA_8032,0,0,0
18284,ALDOB_8033,325,314,298
18285,ALDOC_8034,10,10,10
18286,ALOX15_8036,0,0,0
18287,AMACR_8038,229,222,209
18288,AMY1A_8041,193,191,177
18289,AMY2A3_8042,0,0,0
18290,ANKRD10_8048,4,3,3
18291,ANO10_8049,127,123,114
18292,ANXA7_8051,128,126,103
18293,AP2M1_8054,418,412,384
18294,AP2S1_8055,3,3,3
18295,APBB2_8056,13,11,8
18296,APCS_8057,58,58,56
18297,APEX1_8058,176,172,166
18298,APOC1_8063,1323,1300,1240
18299,APON_8066,16,16,16
18300,AQP7_8072,6,4,4
18301,ARCN1_8074,362,358,331
18302,ARFIP2_8077,18,18,17
18303,ARHGAP11A_8079,2,2,2
18304,ARHGEF12_8080,81,80,77
18305,ARHGEF2_8082,4,4,4
18306,ARHGEF9_8083,0,0,0
18307,ARID5B_8084,5,5,5
18308,ARNT2_8085,0,0,0
18309,ARNTL_8086,39,38,36
18310,ARPP19_8087,0,0,0
18311,ASAH1_8089,1054,1035,976
18312,ASCC3_8090,304,301,292
18313,ASNS_8091,676,660,629
18314,ASPN_8093,0,0,0
18315,ATF1_8094,17,15,15
18316,ATF3_8095,168,165,156
18317,ATF4_8096,146,145,137
18318,ATF5_8097,31,29,29
18319,ATF6_8098,328,325,311
18320,ATG3_8099,287,283,272
18321,ATIC_8100,109,108,105
18322,ATP11B_8102,1,1,1
18323,ATP1B1_8103,90,90,83
18324,ATP2C1_8107,124,124,114
18325,ATP5C1_8109,1903,1870,1786
18326,ATP5S_8111,1,1,1
18327,ATP6V0B_8112,7,0,0
18328,ATP6V1D_8113,1017,1003,950
18329,AURKA_8116,3,2,2
18330,AURKB_8117,0,0,0
18331,AXIN1_8118,11,11,10
18332,B3GNT1_8122,0,0,0
18333,B4GALNT1_8123,9,9,9
18334,B4GALT1_8124,105,104,99
18335,BACE2_8127,4,1,1
18336,BAD_8128,6,4,3
18337,BAMBI_8130,13,13,13
18338,BANF1_8131,43,43,38
18339,BAX_8132,730,712,682
18340,BBOX1_8133,63,58,54
18341,BCL2L1_8137,210,204,194
18342,BDH1_8139,18,17,17
18343,BECN1_8140,240,229,216
18344,BHLHE40_8141,132,129,119
18345,BHMT_8143,57,57,54
18346,BHMT2_8144,143,141,133
18347,BID_8145,93,88,84
18348,BIRC2_8146,109,107,100
18349,BIRC3_8147,132,132,120
18350,BIRC5_8148,4,4,4
