Geneid,rat_DMF_hi_RPH_6_S54_L002_R1_001
ENSRNOT00000044153_34793,0
ENSRNOT00000090022_34794,0
ENSRNOT00000042777_34795,0
ENSRNOT00000002554_34796,28
ENSRNOT00000039379_34797,0
ENSRNOT00000017617_34798,5
ENSRNOT00000046081_34799,0
ENSRNOT00000091231_34896,0
ENSRNOT00000016252_34897,7633
ENSRNOT00000072693_34898,0
ENSRNOT00000075181_34899,13
ENSRNOT00000027454_34900,0
ENSRNOT00000045189_34901,0
ENSRNOT00000064752_34902,584
ENSRNOT00000078683_34903,645
ENSRNOT00000034341_34904,0
ENSRNOT00000080165_34905,0
ENSRNOT00000055688_34906,180
ENSRNOT00000067643_34907,22
ENSRNOT00000011112_34908,0
ENSRNOT00000027188_34909,0
ENSRNOT00000024690_34910,0
ENSRNOT00000048735_34911,0
ENSRNOT00000073858_34912,1
ENSRNOT00000024129_34913,0
ENSRNOT00000059520_34914,874
ENSRNOT00000027198_34915,0
ENSRNOT00000010415_34916,0
ENSRNOT00000072841_34917,8
ENSRNOT00000037612_34918,0
ENSRNOT00000021510_34919,0
ENSRNOT00000066810_34920,0
ENSRNOT00000022476_34921,0
ENSRNOT00000043992_34922,0
ENSRNOT00000075440_34923,46
ENSRNOT00000077849_34924,0
ENSRNOT00000001416_34925,48
ENSRNOT00000035840_34926,329
ENSRNOT00000021418_34927,29
ENSRNOT00000018038_34928,67
ENSRNOT00000074702_34929,28
ENSRNOT00000076409_34930,6
ENSRNOT00000086131_34931,553
ENSRNOT00000024011_34932,6
ENSRNOT00000015518_34933,214
ENSRNOT00000073845_34934,0
ENSRNOT00000064283_34935,5
ENSRNOT00000028526_34936,0
ENSRNOT00000007822_34937,0
ENSRNOT00000067657_34938,0
ENSRNOT00000088565_34939,6
ENSRNOT00000075400_34940,1306
ENSRNOT00000075706_34941,0
ENSRNOT00000080873_34942,0
ENSRNOT00000058749_34943,0
ENSRNOT00000008961_34944,62
ENSRNOT00000077070_34945,46
ENSRNOT00000030142_34946,0
ENSRNOT00000021133_34947,0
ENSRNOT00000033998_34948,0
ENSRNOT00000033378_34949,12
ENSRNOT00000086849_34950,214
ENSRNOT00000012082_34951,26
ENSRNOT00000035271_34952,235
ENSRNOT00000051307_34953,0
ENSRNOT00000003441_34954,0
ENSRNOT00000025756_34955,25
ENSRNOT00000012167_34956,55
ENSRNOT00000036672_34957,0
ENSRNOT00000040570_34958,0
ENSRNOT00000075555_34959,8
ENSRNOT00000035798_34960,0
ENSRNOT00000042086_34961,16
ENSRNOT00000025299_34962,0
ENSRNOT00000013742_34963,0
ENSRNOT00000012301_34964,23
ENSRNOT00000044543_34965,0
ENSRNOT00000083474_34966,46
ENSRNOT00000024144_34967,3
ENSRNOT00000018341_34968,27
ENSRNOT00000074372_34969,0
ENSRNOT00000078368_34970,0
ENSRNOT00000045736_34971,0
ENSRNOT00000012448_34972,0
ENSRNOT00000090916_34973,0
ENSRNOT00000087016_34974,0
ENSRNOT00000081430_34975,5
ENSRNOT00000080161_34976,0
ENSRNOT00000017099_34977,15
ENSRNOT00000009702_34978,0
ENSRNOT00000013328_34979,0
ENSRNOT00000039453_34980,0
ENSRNOT00000074899_34981,0
ENSRNOT00000010795_34982,1
ENSRNOT00000023721_34983,3
ENSRNOT00000000831_34984,26
ENSRNOT00000018677_34985,0
ENSRNOT00000085647_34986,0
ENSRNOT00000000456_34987,0
ENSRNOT00000089142_34988,36
ENSRNOT00000019453_34989,0
ENSRNOT00000058190_34990,953
ENSRNOT00000072457_34991,0
ENSRNOT00000083564_35088,0
ENSRNOT00000046364_35089,3
ENSRNOT00000013507_35090,14
ENSRNOT00000037041_35091,0
ENSRNOT00000090193_35092,176
ENSRNOT00000039327_35093,0
ENSRNOT00000089991_35094,6
ENSRNOT00000086029_35095,127
ENSRNOT00000014106_35096,0
ENSRNOT00000041337_35097,0
ENSRNOT00000017996_35098,0
ENSRNOT00000082974_35099,0
ENSRNOT00000036054_35100,0
ENSRNOT00000006321_35101,114
ENSRNOT00000014611_35102,0
ENSRNOT00000005849_35103,73
